row_type,cell_id,transform,measurability,drawing_id,param_idx,param,n_lid,n_flip,violation_frac,r_meta,verdict
obs,F01,translate,MEASURABLE,colorful_3068,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1019,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_3068,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1019,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_3068,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1019,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_3182,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",536,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_3182,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",536,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_3182,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",536,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_3821,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",454,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_3821,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",454,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_3821,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",454,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_6628,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",997,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_6628,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",997,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_6628,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",997,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_9245,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",703,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_9245,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",703,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_9245,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",703,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_9300,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",491,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_9300,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",491,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_9300,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",491,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_13847,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",612,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_13847,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",612,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_13847,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",612,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14017,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",723,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14017,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",723,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14017,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",723,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14030,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",464,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14030,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",464,0,0.00000000,,
